tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,prediction,timestamp
4,540002,6,36,Empleado,2600000,450000,80278,95.227787,716.0,5,4,0.0,94567.44,59664.0,0.0,3,0,0,737660.0,Creciente,0.6151012182235718,2026-08-22 23:12:57.792521
4,1800000,24,29,Empleado,2308000,797000,84799,95.227787,708.0,5,8,0.0,-9952.87,47170.0,0.0,2,0,2,,,0.7612218856811523,2026-08-22 23:12:57.792521
4,1742402,6,34,Empleado,2810000,1420000,262264,95.227787,808.0,4,4,0.0,114396.896,62752.0,0.0,1,0,1,,,0.7908563017845154,2026-08-22 23:12:57.792521
4,1790283,12,27,Independiente,3000000,500000,140468,95.227787,722.0,5,9,0.0,7431.012,5436.0,0.0,1,0,0,1047377.0,Creciente,0.7295991778373718,2026-08-22 23:12:57.792521
4,4541880,12,54,Empleado,3000000,1200000,315408,95.227787,827.0,4,1,0.0,709.925,1945.0,0.0,3,0,0,,,0.9427199959754944,2026-08-22 23:12:57.792521
9,1839302,11,36,Empleado,3000000,1800000,155990,95.227787,906.0,5,3,0.0,76343.204,87953.0,0.0,3,0,0,3331345.0,Creciente,0.9909909963607788,2026-08-22 23:12:57.792521
4,1307881,6,48,Empleado,4000000,800000,194432,95.227787,844.0,15,6,0.0,49718.198,66135.0,0.0,3,3,7,908526.0,Estable,0.9874917268753052,2026-08-22 23:12:57.792521
9,1269002,8,34,Independiente,5000000,2000000,132296,91.410695,747.0,24,9,0.0,371459.916,154323.0,0.0,5,1,14,925545.0,Creciente,0.6853649616241455,2026-08-22 23:12:57.792521
4,1200000,12,47,Empleado,1400000,400000,94042,95.227787,831.0,3,5,0.0,-410.176,1508.0,0.0,1,0,0,966599.0,Estable,0.9624322652816772,2026-08-22 23:12:57.792521
4,1358160,6,40,Independiente,1910000,0,204449,95.227787,767.0,1,0,0.0,-2.156,44.0,0.0,0,0,0,,,0.8721791505813599,2026-08-22 23:12:57.792521
4,1657080,24,31,Empleado,1400000,400000,72844,95.227787,744.0,7,11,0.0,13546.62,29070.0,0.0,5,0,1,1308500.0,Creciente,0.41678962111473083,2026-08-22 23:12:57.792521
4,622213,6,46,Empleado,1730000,739000,95399,95.227787,731.0,10,6,0.0,-325.248,3696.0,0.0,0,0,10,,,0.868724524974823,2026-08-22 23:12:57.792521
4,1200000,6,52,Empleado,1334000,472000,183267,95.227787,711.0,6,1,0.0,2856.183,23221.0,0.0,0,2,1,1822682.0,Creciente,0.9374305009841919,2026-08-22 23:12:57.792521
4,962846,10,37,Empleado,4500000,1000000,88909,95.227787,836.0,3,2,0.0,60514.44,35430.0,0.0,2,0,0,4647897.0,Creciente,0.987695574760437,2026-08-22 23:12:57.792521
9,1434911,10,66,Empleado,4000000,2000000,122214,95.227787,859.0,3,4,0.0,4836.678,7581.0,0.0,1,2,0,1409344.0,Creciente,0.7415125966072083,2026-08-22 23:12:57.792521
4,14400002,10,47,Independiente,10000000,5000000,1331030,95.227787,809.0,4,3,0.0,63805.626,35487.0,0.0,2,0,1,,,0.9716225266456604,2026-08-22 23:12:57.792521
9,2213972,9,32,Empleado,7750000,2981000,209446,95.227787,672.0,21,19,0.0,55447.119,67701.0,0.0,10,0,9,973011.0,Creciente,0.7417626976966858,2026-08-22 23:12:57.792521
4,1980000,10,43,Independiente,5500000,800000,184170,95.227787,750.0,8,8,0.0,17029.416,34968.0,0.0,3,3,1,850000.0,Creciente,0.6885231733322144,2026-08-22 23:12:57.792521
9,2240567,5,45,Empleado,3500000,2000000,364016,95.227787,817.0,4,2,0.0,31948.848,20208.0,0.0,3,0,0,3432732.0,Creciente,0.9571799039840698,2026-08-22 23:12:57.792521
4,1290481,6,34,Independiente,10000000,4500000,191322,95.227787,719.0,8,6,0.0,45532.574,30203.0,0.0,1,1,3,,,0.5460566878318787,2026-08-22 23:12:57.792521
4,1440002,6,57,Independiente,3000000,1000000,213509,95.227787,773.0,7,4,0.0,42603.076,26041.0,0.0,3,0,2,,,0.9133650064468384,2026-08-22 23:12:57.792521
9,3130384,11,41,Empleado,2000000,1000000,243552,91.99794,822.0,8,2,0.0,990.369,19419.0,0.0,6,0,1,,,0.9469098448753357,2026-08-22 23:12:57.792521
4,1584000,6,44,Independiente,5000000,1400000,235481,95.227787,834.0,3,4,0.0,1325.232,8372.0,0.0,1,0,2,939017.0,Creciente,0.9396862387657166,2026-08-22 23:12:57.792521
4,3960000,12,43,Independiente,1500000,100000,313006,91.99794,774.0,5,1,0.0,-78.672,596.0,0.0,0,0,3,925157.0,Creciente,0.8321933746337891,2026-08-22 23:12:57.792521
9,1269000,5,43,Independiente,5000000,2000000,205810,95.227787,740.0,11,4,0.0,480.168,9234.0,0.0,7,0,1,954545.0,Creciente,0.799622654914856,2026-08-22 23:12:57.792521
4,1915200,6,27,Empleado,2000000,500000,284254,95.227787,779.0,3,3,0.0,0.0,0.0,0.0,3,0,0,1982008.0,Creciente,0.7007510662078857,2026-08-22 23:12:57.792521
9,2013628,9,58,Independiente,8000000,4000000,188235,95.227787,817.0,1,2,0.0,3.111,61.0,0.0,0,0,0,916841.0,Creciente,0.6956136226654053,2026-08-22 23:12:57.792521
4,2904000,6,63,Independiente,2000000,200000,433492,95.227787,813.0,4,5,0.0,256.158,798.0,0.0,2,0,0,,,0.7730667591094971,2026-08-22 23:12:57.792521
4,4128001,6,35,Independiente,6270000,2282000,625577,95.227787,843.0,6,4,0.0,77716.32,54120.0,0.0,3,0,1,984754.0,Creciente,0.940139889717102,2026-08-22 23:12:57.792521
4,1675083,6,43,Independiente,3000000,700000,248965,95.227787,769.0,6,8,0.0,13628.048,7184.0,0.0,3,0,2,945115.0,Creciente,0.9788511991500854,2026-08-22 23:12:57.792521
4,1397761,12,41,Independiente,1600000,500000,97067,95.227787,732.0,9,4,0.0,-9399.3,17119.0,0.0,6,0,1,,,0.7153449654579163,2026-08-22 23:12:57.792521
4,4113602,6,46,Independiente,12000000,3500000,610564,95.227787,878.0,9,7,0.0,278380.644,162132.0,0.0,5,1,1,1378277.0,Creciente,0.8771893978118896,2026-08-22 23:12:57.792521
4,1967880,12,30,Empleado,4500000,1500000,136658,95.227787,746.0,4,8,0.0,3150.609,6523.0,0.0,2,0,0,3940740.0,Creciente,0.8334567546844482,2026-08-22 23:12:57.792521
4,1131840,6,48,Empleado,3062770,0,170950,95.227787,872.0,1,2,0.0,0.0,0.0,0.0,1,0,0,3062770.0,Decreciente,0.9041932821273804,2026-08-22 23:12:57.792521
4,1800000,12,34,Empleado,3200000,800000,140970,95.227787,729.0,7,4,0.0,371.625,2688.0,0.0,3,0,2,,,0.973857045173645,2026-08-22 23:12:57.792521
10,3678481,24,58,Empleado,1200000,200000,160809,95.227787,747.0,4,3,0.0,31631.082,17976.0,0.0,0,1,3,1122000.0,Estable,0.5525797605514526,2026-08-22 23:12:57.792521
4,551640,12,48,Empleado,1800000,500000,38308,91.99794,740.0,3,13,0.0,6887.506,82982.0,0.0,3,0,0,867229.0,Estable,0.6532546877861023,2026-08-22 23:12:57.792521
4,2100961,6,59,Empleado,4000000,1200000,311837,95.227787,843.0,5,2,0.0,87432.89,90137.0,0.0,1,2,1,,,0.983616828918457,2026-08-22 23:12:57.792521
4,1310400,6,38,Independiente,2238000,510000,201227,95.227787,735.0,6,7,0.0,-982.293,3471.0,0.0,0,0,4,,,0.7935408353805542,2026-08-22 23:12:57.792521
4,3810309,12,55,Empleado,3000000,1000000,297986,95.227787,788.0,9,3,0.0,18937.818,51322.0,0.0,2,1,4,992011.0,Decreciente,0.8811644315719604,2026-08-22 23:12:57.792521
4,1466402,6,54,Independiente,4800000,1500000,217403,95.227787,841.0,11,7,0.0,172656.0,98641.0,0.0,6,2,1,,,0.9094868898391724,2026-08-22 23:12:57.792521
4,1583642,6,40,Empleado,1720000,1641000,239189,95.227787,816.0,8,4,0.0,28104.669,85947.0,0.0,5,0,0,,,0.982882559299469,2026-08-22 23:12:57.792521
4,887882,6,59,Independiente,2000000,500000,131964,95.227787,820.0,6,0,0.0,9657.648,5148.0,0.0,3,1,1,,,0.9805490374565125,2026-08-22 23:12:57.792521
4,684601,6,54,Independiente,3800000,900000,103156,95.227787,787.0,7,3,0.0,59826.443,72167.0,0.0,4,1,1,908526.0,Estable,0.958268404006958,2026-08-22 23:12:57.792521
4,1141200,6,50,Empleado,2000000,800000,169499,95.227787,873.0,5,2,0.0,159.822,4098.0,0.0,3,0,1,,,0.9283668994903564,2026-08-22 23:12:57.792521
4,1632000,12,41,Empleado,2000000,1500000,128588,95.227787,802.0,3,5,0.0,356.406,1146.0,0.0,2,0,0,,,0.888516902923584,2026-08-22 23:12:57.792521
9,3084343,10,53,Independiente,3000000,2000000,262286,95.227787,801.0,12,5,0.0,61648.358,20950.0,0.0,6,3,1,,,0.8586375117301941,2026-08-22 23:12:57.792521
4,2976601,6,25,Empleado,6500000,3500000,441299,95.227787,830.0,3,11,0.0,235936.302,160174.0,0.0,1,0,2,3538125.0,Creciente,0.8901371359825134,2026-08-22 23:12:57.792521
4,2001781,6,47,Empleado,4200000,1100000,297319,95.227787,767.0,7,2,0.0,15165.87,18840.0,0.0,4,0,2,3808949.0,Creciente,0.944718599319458,2026-08-22 23:12:57.792521
9,1370717,2,30,Independiente,5000000,2000000,540067,95.227787,707.0,6,0,0.0,-25359.543,115797.0,,2,0,4,,,0.8826996088027954,2026-08-22 23:12:57.792521
9,3493441,12,45,Independiente,17000000,9000000,242600,95.227787,883.0,16,8,0.0,352738.464,166327.0,0.0,13,0,1,2210343.0,Creciente,0.9275444149971008,2026-08-22 23:12:57.792521
4,3529501,12,64,Empleado,5000000,2500000,276929,95.227787,859.0,4,3,0.0,3.565,5.0,0.0,2,0,1,916841.0,Creciente,0.7670586109161377,2026-08-22 23:12:57.792521
9,1608882,10,122,Empleado,36242000,33560000,136816,95.227787,0.0,0,0,,0.0,,,0,0,0,,,0.7044458985328674,2026-08-22 23:12:57.792521
4,3230388,12,64,Empleado,2000000,500000,224333,95.227787,900.0,6,2,0.0,-14930.068,63263.0,0.0,4,0,0,1524348.0,Creciente,0.9397107362747192,2026-08-22 23:12:57.792521
4,1169762,6,46,Empleado,2500000,1000000,173623,95.227787,770.0,8,1,0.0,2270.754,1179.0,0.0,1,0,2,,,0.9859408736228943,2026-08-22 23:12:57.792521
4,1200001,6,27,Empleado,2600000,650000,166667,10.073146,815.0,4,6,0.0,2091.744,1944.0,0.0,1,0,1,,,0.7944604754447937,2026-08-22 23:12:57.792521
9,1006680,10,57,Empleado,1500000,500000,85382,91.728786,794.0,1,1,0.0,34.738,3158.0,0.0,1,0,0,615779.0,Decreciente,0.7629126310348511,2026-08-22 23:12:57.792521
4,2303882,12,46,Independiente,3000000,1800000,159992,95.227787,847.0,6,2,0.0,96156.33,10770.0,0.0,2,3,0,1832297.0,Creciente,0.9585145711898804,2026-08-22 23:12:57.792521
4,3060000,12,35,Empleado,1900000,300000,239649,95.227787,725.0,12,3,0.0,790.704,19291.0,0.0,6,0,3,1207326.0,Decreciente,0.6306567192077637,2026-08-22 23:12:57.792521
9,1712669,9,30,Empleado,3200000,1500000,159948,95.227787,818.0,5,5,0.0,4063.136,2618.0,0.0,2,0,1,3549567.0,Creciente,0.9397528767585754,2026-08-22 23:12:57.792521
4,1708802,12,31,Independiente,1500000,400000,134084,95.227787,796.0,10,2,0.0,10983.174,6393.0,0.0,5,0,1,,,0.8934459686279297,2026-08-22 23:12:57.792521
4,5316000,12,29,Empleado,5000000,500000,416331,95.227787,771.0,7,6,0.0,453.696,4726.0,0.0,6,0,0,6356666.0,Creciente,0.788008987903595,2026-08-22 23:12:57.792521
9,2670514,9,40,Independiente,4500000,1800000,250000,2.794234,776.0,3,13,0.0,1852.224,2112.0,0.0,0,0,1,,,0.8967837691307068,2026-08-22 23:12:57.792521
4,541081,6,26,Independiente,2500000,1000000,80638,95.227787,715.0,4,3,0.0,2036.295,1665.0,0.0,0,0,2,946640.0,Creciente,0.8293882012367249,2026-08-22 23:12:57.792521
4,671760,6,37,Empleado,1500000,800000,99865,95.227787,780.0,6,2,0.0,2696.13,6367.0,0.0,3,1,2,1401449.0,Decreciente,0.8997024297714233,2026-08-22 23:12:57.792521
4,2983021,6,55,Independiente,4000000,500000,441845,95.227787,875.0,7,0,0.0,27393.303,45129.0,0.0,6,0,0,,,0.9627726078033447,2026-08-22 23:12:57.792521
4,3032281,6,36,Empleado,4000000,940000,450786,95.227787,799.0,11,6,0.0,85826.31,171310.0,0.0,6,0,3,,,0.5161574482917786,2026-08-22 23:12:57.792521
4,1056001,10,22,Empleado,1200000,300000,98472,91.410695,704.0,2,5,0.0,106.395,173.0,0.0,0,0,1,516667.0,Creciente,0.3841274678707123,2026-08-22 23:12:57.792521
4,1654681,6,42,Empleado,2000000,0,245988,95.227787,822.0,1,3,0.0,0.0,0.0,0.0,1,0,0,1588233.0,Decreciente,0.7359987497329712,2026-08-22 23:12:57.792521
4,2781000,24,36,Empleado,3600000,2000000,122227,95.227787,777.0,5,5,0.0,2545.247,15241.0,0.0,2,0,1,4159466.0,Creciente,0.9714223742485046,2026-08-22 23:12:57.792521
4,3939841,12,28,Independiente,26000000,12000000,308555,95.227787,820.0,13,6,0.0,307279.424,277328.0,0.0,12,0,0,909140.0,Creciente,0.8271276354789734,2026-08-22 23:12:57.792521
9,1538257,10,22,Empleado,4000000,1500000,130468,91.99794,672.0,10,8,0.0,14851.848,24508.0,0.0,1,1,7,2344073.0,Creciente,0.7010791897773743,2026-08-22 23:12:57.792521
9,1604400,8,48,Independiente,5000000,2000000,167406,95.227787,832.0,15,1,0.0,34440.432,110386.0,,6,0,6,,,0.9729544520378113,2026-08-22 23:12:57.792521
9,3450366,3,47,Empleado,5000000,3000000,915656,95.227787,797.0,12,3,0.0,45201.65,64025.0,0.0,3,0,9,1427131.0,Creciente,0.9424638748168945,2026-08-22 23:12:57.792521
9,2534839,10,42,Independiente,1562000,1820000,219759,95.227787,709.0,5,3,0.0,10600.218,5582.0,0.0,0,1,1,,,0.894485354423523,2026-08-22 23:12:57.792521
9,1193591,9,50,Independiente,3742000,1742000,111738,95.227787,893.0,4,3,0.0,32629.726,17374.0,0.0,2,1,0,,,0.7870780825614929,2026-08-22 23:12:57.792521
4,4276800,18,51,Independiente,5000000,2500000,236289,95.227787,805.0,9,6,0.0,47451.366,122931.0,0.0,7,0,0,913677.0,Creciente,0.893997848033905,2026-08-22 23:12:57.792521
4,2085601,12,36,Empleado,3162000,800000,163337,95.227787,813.0,7,4,0.0,149368.128,11205.0,0.0,3,0,0,3198620.0,Creciente,0.9850901365280151,2026-08-22 23:12:57.792521
